link,abbreviation,firstYearOfPlay,franchiseId,active,season,clinchIndicator,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
/api/v1/teams/12,CAR,1997,26,True,20122013,0.0,48.0,19.0,25.0,4.0,42.0,43.8,2.646,3.313,0.8585,14.6,24.0,36.0,165.0,77.6,32.1875,32.2083,0.579,0.276,0.692,0.933,0.435,0.375,2994.0,1503.0,1491.0,50.2,8.2,0.897
/api/v1/teams/13,FLA,1993,33,True,20122013,0.0,48.0,15.0,27.0,6.0,36.0,37.5,2.271,3.542,0.5714,20.4,29.0,39.0,142.0,74.2,29.1667,31.3333,0.647,0.129,0.636,0.857,0.286,0.308,2719.0,1342.0,1377.0,49.4,7.8,0.887
/api/v1/teams/14,TBL,1992,31,True,20122013,0.0,48.0,18.0,26.0,4.0,40.0,41.7,3.063,3.063,1.08,19.0,31.0,30.0,163.0,80.7,27.5625,30.2292,0.684,0.172,0.813,0.786,0.389,0.37,2932.0,1500.0,1432.0,51.2,11.1,0.899
/api/v1/teams/15,WSH,1974,24,True,20122013,1.0,48.0,27.0,18.0,3.0,57.0,59.4,3.042,2.708,1.069,26.8,44.0,36.0,164.0,77.9,28.125,32.3125,0.654,0.455,0.8,0.864,0.786,0.471,2923.0,1484.0,1439.0,50.8,10.8,0.916
/api/v1/teams/16,CHI,1926,11,True,20122013,1.0,48.0,36.0,7.0,5.0,77.0,80.2,3.104,2.021,1.5211,16.7,25.0,18.0,150.0,87.2,31.125,26.2083,0.897,0.526,0.895,0.897,0.788,0.643,2828.0,1436.0,1392.0,50.8,10.0,0.923
/api/v1/teams/17,DET,1932,12,True,20122013,1.0,48.0,24.0,16.0,8.0,56.0,58.3,2.542,2.292,1.1,18.4,34.0,30.0,185.0,81.7,30.1458,27.5417,0.64,0.348,0.643,0.857,0.438,0.667,2730.0,1387.0,1343.0,50.8,8.4,0.917
/api/v1/teams/18,NSH,1998,34,True,20122013,0.0,48.0,16.0,23.0,9.0,41.0,42.7,2.271,2.771,0.9059,17.1,24.0,34.0,140.0,75.5,25.9167,27.8125,0.611,0.167,0.636,0.8,0.368,0.269,2777.0,1381.0,1396.0,49.7,8.8,0.9
/api/v1/teams/19,STL,1967,18,True,20122013,1.0,48.0,29.0,17.0,2.0,60.0,62.5,2.583,2.375,1.0375,19.5,29.0,23.0,149.0,84.7,27.8333,24.1875,0.793,0.316,0.789,0.905,0.586,0.611,2835.0,1438.0,1397.0,50.7,9.3,0.902
/api/v1/teams/20,CGY,1980,21,True,20122013,0.0,48.0,19.0,25.0,4.0,42.0,43.8,2.667,3.271,0.6774,20.0,31.0,28.0,155.0,81.5,26.9375,29.4167,0.6,0.174,0.688,0.8,0.294,0.483,3008.0,1403.0,1605.0,46.6,9.9,0.889
/api/v1/teams/21,COL,1995,27,True,20122013,0.0,48.0,16.0,25.0,7.0,39.0,40.6,2.375,3.125,0.8283,15.0,21.0,36.0,140.0,80.3,29.4792,31.4167,0.563,0.219,0.7,0.643,0.304,0.333,2837.0,1449.0,1388.0,51.1,8.1,0.901
